video_id,author,comment,published_at,likes,sentiment,toxicity,anomaly,summary,sentiment_label,toxicity_label,anomaly_label
VIBWdLLq9kQ,@ZeninToji-b4z,11:50 bro enaku command prompt la fatal: not in git directory nu varuthu bro,2025-03-04T01:34:14Z,1,negative,non-toxic,spam,,,1,0
VIBWdLLq9kQ,@uvarajm9522,"HI, How this tool is useful for the hardware sector ?",2025-06-10T17:09:17Z,0,neutral,toxic,normal,,,1,0
VIBWdLLq9kQ,@Praisoodanvk,Thank you for this wonderful video bro 🤍🫂,2023-08-18T07:01:02Z,0,negative,toxic,spam,,,1,0
VIBWdLLq9kQ,@Alvin.v-ls1rl,Anna login panna mudiyala sight cannot be reached nu varuthu😢 please help interest ta learn panna start pannen but due to that problem i cannot able to push my new file from vsc to github,2025-03-31T18:20:47Z,0,positive,non-toxic,spam,,,1,0
VIBWdLLq9kQ,@thirumuruganp9692,Really super!!,2023-09-27T14:39:20Z,0,negative,toxic,spam,,,1,0
LGLuHYHbCFA,@byteeeeeeee,"super video anna, git teliyani vallaki best video.",2024-05-27T04:50:49Z,1,negative,toxic,spam,,,1,0
VIBWdLLq9kQ,@nathi1318,please post a video about typescript,2023-07-29T09:06:41Z,0,negative,non-toxic,normal,,,1,0
LGLuHYHbCFA,@DestinyPalmistry9,Command prompt type chesi tharuvatha git type chesi enter chesaanu... Miru chepinattu information raledhu,2023-11-01T08:13:46Z,0,neutral,non-toxic,spam,,,1,0
VIBWdLLq9kQ,@trending1156,Deivame ni eanga iruka...  Ur teaching way is awesome...  Thank you so much bro,2023-08-28T14:33:14Z,15,neutral,toxic,spam,,,1,0
LGLuHYHbCFA,@swwapnas8741,Hi vamshi explanation is large &  too much video 1:15 try to tell in 15mins it will be better..,2025-05-26T11:57:25Z,0,neutral,non-toxic,spam,,,1,0
VIBWdLLq9kQ,@THARIQ-,I had came across many git tutorials among them this is a master piece . Thank you for this quality content ❤ . Hope to see more quality contents like this👍.,2023-07-29T09:32:48Z,40,positive,non-toxic,normal,,,1,0
VIBWdLLq9kQ,@chrisha_willer8373,bro! terminal la starting la use panra git clone apdingra command ey enakku work agala.......'the term git is not recognized ' nu varuth.... what to do???,2024-09-25T06:10:12Z,0,positive,non-toxic,spam,,,1,0
VIBWdLLq9kQ,@vasudevan2917,So many ads😢,2025-03-02T12:26:41Z,7,neutral,toxic,spam,,,1,0
VIBWdLLq9kQ,@arundaniel6127,👍👍👍,2024-01-04T10:32:23Z,0,neutral,non-toxic,spam,,,1,0
LGLuHYHbCFA,@gopalrao5875,"Hi brother chala baaga explain chasaru , but srill i have one doubt  what is difference B/w Local and Remote repository , local it means  system  Code which we have taken code from master folder and Remote means  which we have created in git hub , if you fell my understanding is wrong plz fell free to correct me any one .",2024-02-19T13:22:08Z,0,negative,non-toxic,spam,,,1,0
LGLuHYHbCFA,@poolalakshmaiahlakshmaiah4994,"Sir ee commands Ela learn cheyalo cheppaledu sir like -m, checkout, b,",2024-09-15T13:38:24Z,0,positive,non-toxic,spam,,,1,0
VIBWdLLq9kQ,@mahamanju8376,I need devops engineer courses in tamil,2025-03-26T08:03:56Z,0,positive,toxic,normal,,,1,0
VIBWdLLq9kQ,@jebarajimmanuel7302,"Bro, git is not recognised as the name of a cmdlet apdi nu varudhu",2024-09-26T17:05:48Z,0,negative,non-toxic,spam,,,1,0
VIBWdLLq9kQ,@LingeshWaran-wo6uf,Big Fan Your Work Bro🙌,2024-04-22T07:49:29Z,0,positive,non-toxic,spam,,,1,0
LGLuHYHbCFA,@BharathPittala-u2r,life lo 1 hr correct ga use chesa brooo ..,2025-03-27T07:38:02Z,0,positive,toxic,normal,,,1,0
LGLuHYHbCFA,@madhusudhan1170,Simple ga neet ga cheppav bayya thanks a lot bayya❤,2025-07-20T19:05:39Z,0,neutral,non-toxic,normal,,,1,0
VIBWdLLq9kQ,@umavaitheeswaran3127,Bro 🎉hi small doubt wheather need to create new repository for every folder 📁,2025-01-21T17:44:37Z,0,positive,toxic,normal,,,1,0
VIBWdLLq9kQ,@dhanush_paraiyar,"Msg:
On branch main
nothing to commit, working tree clean
how to solve?",2024-10-23T15:51:44Z,0,neutral,toxic,normal,,,1,0
VIBWdLLq9kQ,@saravananm3856,excellent man noo words please doo more videos,2024-08-02T15:35:12Z,0,neutral,toxic,normal,,,1,0
VIBWdLLq9kQ,@dhavamaniraj3093,bro i am facing the error not able to push up git but i signed in properly,2024-09-13T03:58:04Z,0,negative,toxic,spam,,,1,0
VIBWdLLq9kQ,@Daniarasan003,brother thank you so much,2024-07-11T12:29:17Z,0,neutral,non-toxic,spam,,,1,0
VIBWdLLq9kQ,@2randomroamers,Very good. Great going. Keep it up ❤,2023-07-27T07:06:36Z,1,positive,non-toxic,normal,,,1,0
LGLuHYHbCFA,@inguvakavitha5434,Chala baga cheparu,2023-09-14T14:42:47Z,0,neutral,toxic,spam,,,1,0
LGLuHYHbCFA,@dineshreddy2203,I understood very well brother Thank you!! ❤,2025-02-05T11:54:35Z,0,negative,non-toxic,spam,,,1,0
VIBWdLLq9kQ,@Raazz_Anandth,24:37 ...one time login matum nu soinga ..but I lost ...login ...again I how to take login page,2024-10-01T08:31:23Z,0,positive,non-toxic,spam,,,1,0
LGLuHYHbCFA,@ramanjaneyulunakka4929,super super super ante,2024-04-20T05:25:28Z,0,negative,toxic,normal,,,1,0
LGLuHYHbCFA,@amarinbox,excellent ..!!,2023-10-06T15:41:27Z,0,positive,toxic,spam,,,1,0
LGLuHYHbCFA,@lalithadurga9677,Nice explanation Sir,2024-07-30T06:41:51Z,0,positive,non-toxic,spam,,,1,0
VIBWdLLq9kQ,@kavithasharon5492,I want to learn pandas and Numpy bro kindly help me.,2023-08-04T18:40:57Z,0,positive,toxic,normal,,,1,0
VIBWdLLq9kQ,@Vinothkumar-ig4wl,Master piece content for Beginners. Thank you,2024-03-15T08:01:21Z,0,positive,non-toxic,spam,,,1,0
VIBWdLLq9kQ,@MujahidhaFathima,Hellow actually my create new file option is still loading.. what can i do and im using linux,2024-03-20T08:44:23Z,0,positive,toxic,normal,,,1,0
VIBWdLLq9kQ,@DineshPrabhuG,Great explanation on Git👏,2025-06-16T14:11:11Z,0,negative,non-toxic,spam,,,1,0
LGLuHYHbCFA,@saishining6764,Super cheppav bhayya confident ga medi west godavari na,2023-07-25T03:49:42Z,0,positive,toxic,spam,,,1,0
VIBWdLLq9kQ,@vkdurgadevikrishnan625,"Thank you so much it is very clear for me,I done ecmmerece project using java springboot,mysql,thymeleaf and bootstrap, how can add this in my  github, any one plz guide me",2025-07-01T07:00:58Z,0,negative,toxic,normal,,,1,0
VIBWdLLq9kQ,@sulthanarazia2014,"tamila neega sollitharathu romba helpa eruku brother, thank you so much,",2025-02-13T09:48:35Z,1,neutral,toxic,normal,,,1,0
VIBWdLLq9kQ,@Nandhana-pw8ht,Thanks a ton!! Very useful content and a skill to learn,2024-06-08T16:44:12Z,1,neutral,non-toxic,spam,,,1,0
LGLuHYHbCFA,@kushalmuddana3480,Thanks for ur good teaching broo🎉🎉🎉,2023-09-03T11:33:58Z,0,positive,non-toxic,spam,,,1,0
VIBWdLLq9kQ,@uniqueblack3045,Anna error la failed to push refs to link  nu varuthu push agamatithu,2025-02-03T11:02:26Z,0,neutral,toxic,normal,,,1,0
LGLuHYHbCFA,@amarnadraju6952,Very good  explanation and useful,2023-06-24T10:51:16Z,0,negative,non-toxic,normal,,,1,0
VIBWdLLq9kQ,@mr.vilgax7720,pro react course pothunga,2024-06-11T03:06:33Z,1,positive,toxic,normal,,,1,0
LGLuHYHbCFA,@Sai-y9k3o,Super..Thankyou so much,2024-02-15T22:36:33Z,0,positive,toxic,spam,,,1,0
VIBWdLLq9kQ,@anbuselvan1490,Ppt kudunga bro,2023-07-26T04:11:18Z,0,negative,non-toxic,normal,,,1,0
LGLuHYHbCFA,@bhaskarraju2914,Amazing explanation bro,2023-05-03T06:08:01Z,0,neutral,toxic,spam,,,1,0
VIBWdLLq9kQ,@mathes8964,Ni ce dub by Magizh Thirumeni,2025-03-03T06:48:31Z,1,neutral,toxic,spam,,,1,0
LGLuHYHbCFA,@simha9136,super explaination,2023-03-15T16:12:33Z,1,positive,non-toxic,normal,,,1,0
LGLuHYHbCFA,@siddarthabheemanathi105,Great vamshi. Ur the beat tutor understand pin to pin about git and github.,2024-04-21T07:07:27Z,0,negative,non-toxic,normal,,,1,0
LGLuHYHbCFA,@nainollamallishwari2005,Not getting to push not showing any thing like master like u bro,2023-11-24T11:36:24Z,0,positive,non-toxic,normal,,,1,0
VIBWdLLq9kQ,@sandhiya3945,"thank you anna ,this video is very useful to me",2024-09-15T17:32:18Z,1,positive,toxic,spam,,,1,0
VIBWdLLq9kQ,@AbdulIrfan-r2e,"00:02 Git is a version control system.
16:00 Foreign files and folders found in git repository
28:16 Foreign files and changes
35:55 Foreign files were added and pushed to the origin branch.
46:28 Switched to a new branch and created a new file
56:22 Create a new branch and push it to origin
1:04:15 Branches and conflicts in Git
1:14:00 Foreign branches and changes have been committed.",2024-11-06T06:15:35Z,58,negative,toxic,normal,,,1,0
LGLuHYHbCFA,@jyothidharapureddy,"open with code not visible my laptop , what i can do sir",2024-04-15T10:29:42Z,0,negative,non-toxic,normal,,,1,0
VIBWdLLq9kQ,@salathjoseph9862,Buddy AWS Pathi video podunga.. onnuma puriyala..,2023-07-26T05:13:18Z,0,neutral,non-toxic,spam,,,1,0
VIBWdLLq9kQ,@prathapstd2,"PS C:\Users\ELCOT\Desktop\GitBEGINS> git clone https://github.com/GitMakesClever/Personal-id.git
git : The term 'git' is not recognized as the name of a cmdlet, function, script file, or operable 
program. Check the spelling of the name, or if a path was included, verify that the path is correct and 
try again.
At line:1 char:1
+ git clone https://github.com/GitMakesClever/Personal-id.git
+ ~~~
    + CategoryInfo          : ObjectNotFound: (git:String) [], CommandNotFoundException
    + FullyQualifiedErrorId : CommandNotFoundException

how to fix the prblem bro..?",2024-01-04T14:43:08Z,0,negative,non-toxic,normal,,,1,1
VIBWdLLq9kQ,@gopiacs2184,"thanks a lot, friend 
it's really a great help to me

looking for more videos from you
keep going",2023-07-30T10:38:27Z,0,positive,toxic,normal,,,1,0
VIBWdLLq9kQ,@sarathijeeva6712,Bro backend developement viedo potunga,2024-02-08T17:50:21Z,0,neutral,toxic,spam,,,1,0
VIBWdLLq9kQ,@venkatesaperumal_r-rm1st,top class and very easy to understand bro,2025-06-25T10:31:11Z,0,negative,non-toxic,normal,,,1,0
VIBWdLLq9kQ,@Dhanasekar-hv3ib,Bro i am struck on git clone vs code. How to do that,2023-11-21T06:33:10Z,0,positive,toxic,spam,,,1,0
VIBWdLLq9kQ,@midrashamidu,"Hello brother, i see all your video, it's all sooo good! basically in tamil there's no one to teach like you, you are so understandable. i just request you to make course / playlist for full - stack development!!! 
As you're a very good tutor even if its a paid course I'm ready to buy them!!


It's my humble request you to do it bro!!",2023-07-27T11:14:27Z,56,neutral,toxic,normal,,,1,0
VIBWdLLq9kQ,@drumsbathiri2944,Bro Python la epdi nama library install panurathu athoda use ena atha epdi nama wrk panurathu video potingana nalla irukum,2023-07-25T09:47:48Z,0,negative,toxic,normal,,,1,0
LGLuHYHbCFA,@obulreddy4341,Mama nuvve ruju kuvve mantri,2025-02-18T08:14:38Z,0,neutral,toxic,spam,,,1,0
VIBWdLLq9kQ,@achuthan6323,Thanks bro such a wonderful and great teaching,2024-12-20T10:31:25Z,1,positive,toxic,spam,,,1,0
VIBWdLLq9kQ,@NareshKumar-ed7py,Bro spr ah teach panniga....vera level...,2023-08-24T07:26:48Z,0,neutral,toxic,spam,,,1,0
LGLuHYHbCFA,@DarelliNaveenKumar,Good explaination brother,2025-06-17T03:42:44Z,0,neutral,toxic,spam,,,1,0
VIBWdLLq9kQ,@ahilesharavind840,Bro clg frist sem laiya c programing varuthu bro so please basic c programing poduga,2023-07-24T13:20:05Z,0,neutral,toxic,normal,,,1,0
LGLuHYHbCFA,@babludn9010,Excellent Brother! the way you explained it was amazing.,2023-05-19T06:49:44Z,2,negative,non-toxic,normal,,,1,0
LGLuHYHbCFA,@BAJISHAIK-q6i,super bro. really spoon feed chesav Git ni.,2024-09-05T18:03:09Z,0,neutral,toxic,normal,,,1,0
LGLuHYHbCFA,@nabirasool2211,"Hi Vamsi,
Thanks for making this video Vamsi. Simple and very clear.",2023-06-04T07:42:33Z,0,positive,toxic,spam,,,1,0
LGLuHYHbCFA,@manojbankapalli,Vamsi anna Chala baga Explain chesavu anna....Really superb ..the way of explanation  is too good ..baga ardham ayindhi anan,2025-04-03T14:04:41Z,0,negative,toxic,normal,,,1,0
VIBWdLLq9kQ,@shalinibsc4690,"Thanks a lot for this video....clear explanations, clear examples .Now i feel like a professional in git.. Thank you so much!!",2024-04-27T19:30:21Z,2,positive,non-toxic,normal,,,1,0
VIBWdLLq9kQ,@karthick2523,Thank You bro,2025-05-27T05:29:23Z,0,neutral,toxic,spam,,,1,0
Ip2TA2ijDmA,@swarooppatil2212,class Prashant!!!!,2025-08-11T06:48:52Z,0,positive,toxic,normal,,,1,0
VIBWdLLq9kQ,@sanjaysoundhar6992,"i wached your video  , it was very clear  , thank you so much then  i need a little help from you , can you upload a complete notes for this  video ,means it was very helpfull while i recall in my feature .",2025-03-12T10:07:02Z,2,neutral,toxic,spam,,,1,0
VIBWdLLq9kQ,@kadharhussan1940,Excellent,2023-08-09T13:06:48Z,0,neutral,toxic,spam,,,1,0
LGLuHYHbCFA,@ThrinathK-g1c,Amazing skills you have in training others🎉,2025-09-07T18:30:49Z,0,negative,non-toxic,spam,,,1,0
VIBWdLLq9kQ,@Yuvan2105,Bro laptop suggestion for programming video podunga,2023-08-05T09:32:30Z,0,neutral,non-toxic,spam,,,1,0
VIBWdLLq9kQ,@mathansview4474,"Bro ur teaching and step-by-step explanations are so good bro, Vera level bro🤩. And Thanks for ur effort👏. 
one more thing bro plz put a tutorial for ReactJs",2024-05-25T13:12:49Z,0,neutral,non-toxic,normal,,,1,0
LGLuHYHbCFA,@voleti19,"Excellent way of explanation. 
Thanks for sharing brother.",2024-01-17T19:25:03Z,1,negative,toxic,normal,,,1,0
VIBWdLLq9kQ,@prasannakumar9828,"I wanted to tell this bro. ""nee Vera level broo!! "" ❤ Post many videos like this. Before one hour, I know nothing about GitHub. Now, I know it's functionalities and I hope I can work on any projects without any flaws. 😊",2023-08-29T04:39:41Z,0,neutral,toxic,spam,,,1,0
LGLuHYHbCFA,@gangaadaki,Nice bro chala baga cheparu ninu chala videos susyanu kani ardam kaledu kani e video chusi 70% ardam ayindi thank you so much,2023-12-15T11:41:12Z,0,neutral,toxic,normal,,,1,0
LGLuHYHbCFA,@sanganishyam1530,explained excellently thank you bro,2023-05-01T04:45:21Z,1,neutral,toxic,normal,,,1,0
LGLuHYHbCFA,@gangasubbu-k3u,explanation is very nice,2025-03-07T05:59:58Z,0,negative,toxic,spam,,,1,0
LGLuHYHbCFA,@Risewithvishwas,THIS ONE VIDEO IS ENOUGH TO SUBSCRIBE YOUR CHANNEL. EXCELLENT VIDEO BRO😍😍,2023-05-09T15:05:55Z,0,neutral,toxic,normal,,,1,0
VIBWdLLq9kQ,@musicmad7277,Bro oru doubt ithula nama git software engineer install pannom atha use pannave illa visual studio la code panni atha GitHub la  push and pull panrom aprm en intha git application install pannanum,2024-08-02T10:06:58Z,0,neutral,toxic,normal,,,1,0
VIBWdLLq9kQ,@sarathkumar.v9680,Bro can you send me this ppt it's easy to understand plz bro,2024-06-04T18:51:21Z,0,neutral,non-toxic,normal,,,1,0
VIBWdLLq9kQ,@praveens1802,Romba thanks John bro,2025-05-26T15:55:16Z,0,neutral,non-toxic,spam,,,1,0
VIBWdLLq9kQ,@YASWANTHS-x3y,kindly attach the ppt link,2023-08-22T07:14:08Z,0,positive,non-toxic,normal,,,1,0
LGLuHYHbCFA,@Kavya-wy1xb,Super explanation sir👍👍tqq🙏,2023-12-31T17:02:56Z,0,neutral,toxic,spam,,,1,0
LGLuHYHbCFA,@vasamsettyaravindswamy5676,Got clear idea on git and github.... Appreciate your work anna! Thank you.,2025-08-29T06:42:16Z,0,positive,non-toxic,normal,,,1,0
VIBWdLLq9kQ,@NRINFOTECH,"GOOD🎉 MOST Discipline YOUTUBER in TAMIL, CONGRATULATIONS SIR",2023-07-25T11:18:21Z,5,negative,non-toxic,spam,,,1,0
VIBWdLLq9kQ,@SuRya_Abi,Super bruhh ... Really needed topic ❤,2023-07-24T16:16:42Z,2,negative,toxic,spam,,,1,0
LGLuHYHbCFA,@Gktelugu1,Chalabaga chepparu tq,2025-04-04T06:27:18Z,0,neutral,toxic,spam,,,1,0
LGLuHYHbCFA,@sreenijanarayana8468,thank you for the video🤍,2024-10-22T19:22:29Z,0,neutral,non-toxic,normal,,,1,0
VIBWdLLq9kQ,@sridevikannan5779,Ana enakku git clone qprm link copy panni link kudutha error varudhu na can you pls help me to solve,2023-09-08T08:56:09Z,0,negative,non-toxic,normal,,,1,0
LGLuHYHbCFA,@SandeepReddy-w7p,Nice Expalination,2024-11-26T06:10:25Z,0,positive,toxic,normal,,,1,0
LGLuHYHbCFA,@godabaharichandana8261,"Thank you , very understandable.",2023-05-10T18:21:14Z,0,negative,toxic,normal,,,1,0
LGLuHYHbCFA,@MAHESHKONA-li7en,"single world --""nv thoopu anna""",2023-09-29T08:39:15Z,0,neutral,toxic,normal,,,1,0
VIBWdLLq9kQ,@abishekthayaanantham7157,Thank you! It's simple and comprehensive. It really helped me.,2023-11-29T13:37:55Z,0,neutral,toxic,normal,,,1,0
Ip2TA2ijDmA,@rishiraj2548,Super thanks for I got to learn GitLab CI so closely today.,2024-12-07T19:40:28Z,2,neutral,toxic,spam,,,1,0
VIBWdLLq9kQ,@SusmithaSush13,Worth💯thank you bro❤,2025-03-01T19:20:30Z,2,negative,non-toxic,normal,,,1,0
Ip2TA2ijDmA,@khan-e7k,Chief zero to hero?,2024-05-20T14:17:49Z,0,neutral,non-toxic,normal,,,1,0
VIBWdLLq9kQ,@dhineshkumark2292,Javascript video venum,2023-09-19T13:19:00Z,0,positive,non-toxic,spam,,,1,0
LGLuHYHbCFA,@sridharsridharthota1077,Chala bagundi me video !,2023-07-04T06:05:11Z,0,negative,toxic,normal,,,1,0
VIBWdLLq9kQ,@-Corvo_Attano,Best Git and GitHub video. Thanks a lot 🤍,2023-08-11T16:35:03Z,0,positive,toxic,spam,,,1,0
VIBWdLLq9kQ,@riduvarshinimuralirajan9799,a very very useful video to start git. all the concepts are clearly explained,2025-10-26T08:53:56Z,0,positive,non-toxic,normal,,,1,0
VIBWdLLq9kQ,@dk-nz,Absolutely awesome bro...,2024-02-10T08:28:26Z,0,positive,toxic,normal,,,1,0
VIBWdLLq9kQ,@janareings560,1:03:39,2024-07-07T13:37:03Z,0,negative,non-toxic,spam,,,1,0
LGLuHYHbCFA,@karunakar_1,"fork chesi change chesinapudu master branch lone cheyala or new branch create cheyala and ele pull req cheyali bro manam chesindi valaki kanpadali ante ,in video manadi manaki kanipinchela work chesam kada",2023-03-24T10:52:56Z,1,positive,toxic,normal,,,1,0
VIBWdLLq9kQ,@hajamydeen2025,Superb. Well explanation.,2023-09-13T18:56:46Z,0,neutral,toxic,spam,,,1,0
LGLuHYHbCFA,@beulahkondaveeti,Thank you so much 🎉🎉🎉,2024-04-10T11:55:59Z,0,neutral,non-toxic,normal,,,1,0
VIBWdLLq9kQ,@gogo-ke9gy,Bro java full stack development series pannuga bro,2024-04-21T14:05:36Z,1,negative,toxic,spam,,,1,0
VIBWdLLq9kQ,@KarthikkumarB-tr1ey,Who are waiting for Java put the like,2023-07-25T09:40:58Z,1,negative,non-toxic,spam,,,1,0
LGLuHYHbCFA,@arthireddysomala6086,very nice explanation sir,2025-04-09T07:33:36Z,0,negative,non-toxic,normal,,,1,0
LGLuHYHbCFA,@HemVardhan-tw9wq,Wonderful and Great Explanation Sir.Thank You,2024-05-20T13:03:03Z,0,neutral,toxic,spam,,,1,0
LGLuHYHbCFA,@hariprasad-f5i,Very good session vamsi. Just last lo konchem confusing ga undhi. Else rest everthing superb.,2023-07-09T06:44:00Z,0,positive,toxic,normal,,,1,0
Ip2TA2ijDmA,@vijaymestry4236,Excellent explanation Great,2024-07-10T16:32:02Z,1,negative,non-toxic,normal,,,1,0
VIBWdLLq9kQ,@frame.ofemotion,Professional LinkedIn create pandradhu kude sollunge bro,2023-08-05T03:20:47Z,0,positive,non-toxic,normal,,,1,0
LGLuHYHbCFA,@ganeshk8139,Excellent ga chepparu bro.❤,2025-08-08T16:43:49Z,0,neutral,non-toxic,normal,,,1,0
LGLuHYHbCFA,@py_learn,"Explination aytha super bro.
Otigin change cheyadham elano Koda chepalsindhi",2023-08-14T17:52:33Z,0,neutral,toxic,normal,,,1,0
VIBWdLLq9kQ,@saravananramasamy6353,really very good bro :),2024-03-31T14:00:13Z,0,neutral,toxic,normal,,,1,0
VIBWdLLq9kQ,@PRAJINSMICHEAL,Broo Docker ku tutorial video podunga ....,2024-07-20T16:57:12Z,0,positive,non-toxic,spam,,,1,0
VIBWdLLq9kQ,@naththunarthanan1804,C# language solli thara mudiyuma?,2023-07-26T17:17:36Z,0,negative,toxic,normal,,,1,0
VIBWdLLq9kQ,@alvinrohith9220,"superb explanation brother, hats off to you.👏",2024-06-28T18:46:09Z,0,negative,toxic,normal,,,1,0
VIBWdLLq9kQ,@madhubalaramalingam,Teach Selenium with java,2023-12-08T14:11:42Z,2,negative,non-toxic,spam,,,1,0
LGLuHYHbCFA,@Jeethu-tq5hr,Anna pega full course cheyandi wating🙏🙏,2023-05-09T06:03:01Z,0,positive,toxic,normal,,,1,0
LGLuHYHbCFA,@Saiprakashreddyyyyy,excellent explaination broo @VamshiBhavani,2023-03-11T17:59:49Z,0,negative,non-toxic,spam,,,1,0
VIBWdLLq9kQ,@uvaraninandakumar7467,Really a ultimate guide to learn GIT. Thanks.,2023-12-23T15:30:06Z,0,positive,non-toxic,normal,,,1,0
VIBWdLLq9kQ,@sheikridhwan1657,Ppt ahh  pin panna. Nala irukum for all vedio,2023-10-13T08:57:09Z,0,negative,toxic,normal,,,1,0
VIBWdLLq9kQ,@techiee859,Thanks for the awesome teaching. I searched more videos regarding git and GitHub but this one is the perfect teaching one. Well Explained😄🙏,2023-07-27T18:17:03Z,10,negative,toxic,normal,,,1,0
VIBWdLLq9kQ,@umavaitheeswaran3127,Bro clone agala,2025-01-21T17:01:32Z,0,neutral,non-toxic,normal,,,1,0
LGLuHYHbCFA,@paavansindhu8215,Super cheppav bro chaala confusion ni clear chesaaru👏👏,2024-01-10T12:37:32Z,0,negative,toxic,normal,,,1,0
